Name;Type;Faction;Number;Cost;Wincon;Health;Suspicion;Mystery;Stability;Tool Activation;Stamina;Basic Text
"Let's fight together";"Event";"T";"176/288";"2";"";"";"";"";"";"";"";"Reduce the suspicion on target monster by the number of monsters in your victory pool."
"Accidental Misuse";"Event";"H";"54/288";"2";"";"";"";"";"";"";"";"Discard target tool."
"Feast Hall";"Biome";"H";"130/288";"4";"";"";"";"";"";"";"";"Whenever you claim a monster, each retainer you control gains 1 stamina."
"Sneak Attack";"Event";"H";"249/288";"3";"";"";"";"";"";"";"";"Whenever you assign a retainer to a monster this round, that monster loses 1 health."
"Extended Hunting Season";"Event";"H";"124/288";"5";"";"";"";"";"";"";"";"After the adventure phase this round, there is another adventure phase."
"Recall Beacon";"Tool";"H";"215/288";"3";"";"";"";"";"";"During the adventure phase";"";"Unassign one retainer you control."
"Recruitment Event";"Event";"H";"217/288";"2";"";"";"";"";"";"";"";"Retainers you play this round cost 1 track less up to a minimum of 1"
"Preplanned Surprise";"Disposable Tool";"HR";"207/288";"0";"";"";"";"";"";"-";"";"You may immediately play an event card from your hand by paying its track costs."
"Armor of Protection";"Disposable Tool";"H";"58/288";"2";"";"";"";"";"";"When a card you control is targeted by an opponents effect.";"";"Cards you control are unaffected by this effect this round."
"Hunt Medic";"Retainer";"H";"163/288";"1";"";"0";"0";"0";"0";"";"3";"When another retainer you control, that is assigned to the same monster as this retainer, would be discarded, return it to its owner's hand instead."
"DNA Extraction";"Event";"RC";"116/288";"3";"";"";"";"";"";"";"";"Target retainer gains all effects of another target retainer for this round."
"Isolated Food Chain";"Biome";"RC";"169/288";"4";"";"";"";"";"";"";"";"Whenever you claim a monster, you gain 1 extra track at the end of the next tracking phase."
"Bounty Flyer";"Disposable Tool";"H";"72/288";"2";"";"";"";"";"";"At the end of the discovery phase";"";"Until the end of the next round, retainers you control, assigned to target monster that entered the wilds this round, have an extra -1 health."
"Meat Feast";"Event";"H";"184/288";"1";"";"";"";"";"";"";"";"Target retainer gains 1 stamina."
"Fake Mating Call";"Event";"HR";"126/288";"2";"";"";"";"";"";"";"";"Reveal a new monster from the monster deck and put it into the wilds."
"First Blood";"Event";"H";"136/288";"3";"";"";"";"";"";"";"";"This card costs 2 less if no victory pool contains a monster.

Target monster loses 3 health."
"Final Push";"Event";"H";"135/288";"1";"";"";"";"";"";"";"";"Target monster with 2 or less health loses 2 health."
"Trap Tutorial Guide";"Tool";"H";"270/288";"2";"";"";"";"";"";"When a tool is placed in the wilds";"";"The placed tool can be used this round.Then reset this tool."
"Life Dissection";"Event";"HRC";"178/288";"3";"";"";"";"";"";"";"";"Cancel target monster.

Draw a card."
"Grim Cataloguer";"Retainer";"HRC";"156/288";"2";"";"-1";"0";"-1";"-1";"";"4";"Whenever this retainer exhausts,
choose one:
* Draw a card.
* Target monster loses 1 stability."
"Trophy Case";"Tool";"HR";"271/288";"2";"";"";"";"";"";"When you claim a monster";"";"Look at the top of the monster deck.You may place the top card on the bottom of the monster deck."
"Field Journaling";"Event";"RHT";"133/288";"2";"";"";"";"";"";"";"";"Draw a card.

Reduce a stat of target monster by 1."
"Quarantine Ward";"Biome";"TRC";"210/288";"4";"";"";"";"";"";"";"";"Whenever one or more of a monster's stats would be increased by a card, that cards controller draws a card instead."
"Containment Protocol";"Event";"TRC";"92/288";"3";"";"";"";"";"";"";"";"Cancel target monster.

Draw a card."
"Broken Promise";"Retainer";"CHT";"73/288";"3";"";"-1";"-1";"0";"0";"";"3";"When you discard this retainer, target opponent discards a card."
"Life Bait Container";"Tool";"CHT";"177/288";"3";"";"";"";"";"";"When a retainer you control is exhausted without being discarded";"";"discard that retainer, if you do, reduce target monster's stats by 1."
"Forbidden Preserve";"Biome";"HRC";"140/288";"4";"";"";"";"";"";"";"";"Whenever a monster leaves the wilds, reduce one stat of another monster by 1."
"Tracking Network";"Tool";"RHT";"266/288";"2";"";"";"";"";"";"When a monster enters the wilds";"";"look at the top of the monster deck.You may put that card on the bottom."
"Species Conservationist";"Retainer";"RHT";"251/288";"2";"";"-1";"-1";"-1";"0";"";"4";"When you assign this retainer to a monster, increase one of that monster's stats by 1."
"Behavioral Conditioner";"Retainer";"TRC";"63/288";"3";"";"0";"-2";"-2";"-1";"";"4";"When this retainer is unassigned from a monster, if that monster has 0 stability, draw a card."
"Blood Ritual";"Biome";"CHT";"69/288";"4";"";"";"";"";"";"";"";"At the end of the adventure phase for each monster that has a stat at 0, reduce one of its other stats."
"Frenzy Pheromones";"Event";"C";"147/288";"2";"";"";"";"";"";"";"";"Whenever a retainer is assigned to target monster this round, it exhausts."
"Spectral Scan Recording";"Disposable Tool";"R";"252/288";"7";"";"";"";"";"";"During the Main Phase";"";"Reduce target monster's mystery to 0."
"Containment Site";"Biome";"C";"93/288";"3";"";"";"";"";"";"";"";"For each monster, the first time this monster's health, suspicion, or mystery would be reduced this round, prevent that reduction and put a breach counter on this card instead. If this card has 6 or more breach counters, discard it and reveal a new monster from the monster deck."
"Dark Evolution";"Event";"TC";"109/288";"3";"";"";"";"";"";"";"";"Target monster loses 1 stability and gains 2 health and 2 mystery."
"Portable Passage";"Tool";"RT";"205/288";"2";"";"";"";"";"";"During the adventure phase.";"";"Assign an unassigned retainer you control to a monster."
"Cosmic Mutation";"Event";"C";"101/288";"2";"";"";"";"";"";"";"";"Target monster loses all categories until the end of the round."
"Cross Examination";"Event";"R";"105/288";"2";"";"";"";"";"";"";"";"Target monster loses 1 mystery for each of its categories."
"Wild Gambit";"Event";"TC";"286/288";"1";"";"";"";"";"";"";"";"Randomly choose one: 
* target monster's suspicion is warded until the end of this round.
* target monster loses 1 stability
* exhaust target retainer
* retainers you play this round enter with 1 extra stamina."
"Feral Gambit";"Event";"CH";"132/288";"1";"";"";"";"";"";"";"";"randomly choose one: 
* target monster loses 2 health
* target monster loses 1 stability
* discard target retainer with 1 stamina
* increase target retainer's stamina by 1."
"Comfort Campus";"Biome";"R";"89/288";"4";"";"";"";"";"";"";"";"During the adventure phase, when a retainer you own is reduced to 0 stamina, you may pay 1 track to return it into your hand."
"Change of Plans";"Event";"HR";"85/288";"2";"";"";"";"";"";"";"";"Discard your hand, draw that many cards plus 1."
"Rethinking the Strategy";"Event";"RT";"228/288";"3";"";"";"";"";"";"";"";"Shuffle your hand into your expedition deck and draw as many cards plus 1."
"Council Reconsideration";"Event";"T";"102/288";"4";"";"";"";"";"";"";"";"Each player shuffles their hand into their expedition deck, then draws 5."
"Research Funding";"Disposable Tool";"R";"222/288";"1";"";"";"";"";"";"During the End Phase";"";"You don't have to discard to hand-size this round."
"Tool Table";"Tool";"RT";"263/288";"1";"";"";"";"";"";"During the main phase";"";"The next tool you play costs 0 to place down"
"Impatient Construction";"Event";"T";"166/288";"2";"";"";"";"";"";"";"";"All tools in the wilds can be activated, as if placed last round."
"Lone Wolf Plains ";"Biome";"CH";"181/288";"3";"";"";"";"";"";"";"";"If you control exactly 1 retainer, double all modifiers of that retainer. If an effect of that retainer would trigger, it triggers an additional time."
"Culling the Weak";"Event";"C";"108/288";"2";"";"";"";"";"";"";"";"Each player discards 2 cards.Then they draw one. You draw a card."
"Sanguine Biologist";"Retainer";"HR";"239/288";"3";"";"-2";"0";"-2";"0";"";"3";"-"
"Knowledgeable Poacher";"Retainer";"HR";"171/288";"4";"";"-1";"0";"-1";"0";"";"3";"When this retainer is assigned to a monster, choose one: 
* this retainer gets -1 mystery until end of round, draw a card
* this retainer gets -1 health until end of round, discard target tool."
"Living Conditions Analyst";"Retainer";"RT";"180/288";"3";"";"0";"-1";"-1";"0";"";"3";"If you control a biome this retainer has your choice of -1 suspicion or -1 mystery."
"Sedative Toxicologist";"Retainer";"RT";"245/288";"4";"";"-1";"-2";"-2";"-1";"";"5";"-"
"Crazy Marauder";"Retainer";"TC";"104/288";"3";"";"1";"-1";"1";"-1";"";"4";"-"
"Bonded Corruptor";"Retainer";"TC";"70/288";"2";"";"-1";"0";"0";"0";"";"3";"When this retainer enters, choose a monster in the wilds. Whenever this retainer is assigned, the chosen monster loses 1 suspicion and 1 stability. When the chosen monster leaves the wilds, discard this card."
"Flesh Collector";"Retainer";"CH";"139/288";"2";"";"-1";"0";"0";"-1";"";"3";"-"
"Monster Devourer";"Retainer";"CH";"192/288";"2";"";"-1";"0";"0";"-1";"";"1";"Whenever you claim a monster, you may return this card from your discard pile to your hand."
"Undead Ranks Rising";"Event";"C";"275/288";"6";"";"";"";"";"";"";"";"Return all retainers from your discard pile to the wilds with 1 stamina each.Discard all of them in the next end phase."
"Resourceful Management ";"Event";"RT";"224/288";"2";"";"";"";"";"";"";"";"The next time you would discard a tool this round, prevent that discard."
"Denial of the Wilds";"Event";"T";"112/288";"6";"";"";"";"";"";"";"";"Your opponents can't claim monsters this round."
"Comparative Study";"Event";"R";"90/288";"5";"";"";"";"";"";"";"";"Target monster loses 2 mystery for each category it shares with another monster in the wilds."
"Twisted Growth";"Event";"C";"273/288";"2";"";"";"";"";"";"";"";"Target monster gains a category of your choice."
"Genotype Forbiddance";"Event";"RT";"152/288";"2";"";"";"";"";"";"";"";"Choose a monster category. Retainers can't be assigned to monsters of the chosen category this round."
"Catch and Release Procedure";"Disposable Tool";"R";"83/288";"3";"";"";"";"";"";"When a monster is claimed";"";"Look at the top of the monster deck, if it is not an ancient, you may add it to your victory pool.If you do, put a card from your victory pool into the wilds."
"Hyperfocused Friend";"Retainer";"RT";"165/288";"2";"";"0";"-1";"-1";"0";"";"3";"When this retainer is assigned to a beast monster, double its modifiers."
"Spellslayer";"Retainer";"HR";"253/288";"2";"";"-1";"0";"-1";"0";"";"2";"This retainer does not exhaust from being assigned to an arcane monster."
"Resource Displacement";"Event";"R";"223/288";"2";"";"";"";"";"";"";"";"At the start of the next main phase you gain 2 tracks."
"Denial Decree";"Disposable Tool";"T";"111/288";"2";"";"";"";"";"";"When a player plays a card";"";"Prevent that card."
"Decay Extraction";"Event";"C";"110/288";"3";"";"";"";"";"";"";"";"Target retainer gets -1 stability until the end of the round for each retainer in your discard pile. "
